Level;EventID
4;16384
0;4673
0;4673
0;4673
0;4689
0;5156
0;4688
0;4673
0;5379
0;5379
0;5379
0;5379
0;5379
0;5379
0;5379
0;5379
0;4673
0;4688
0;4673
0;5379
0;5379
0;5379
0;4673
0;4688
0;5379
0;4673
0;4611
0;4689
0;4799
0;4799
0;4673
0;4673
0;4656
0;4656
0;4656
0;4658
0;4658
0;4658
0;4673
0;4673
0;4673
0;4673
0;4673
0;4611
0;4673
0;4625
0;4776
0;4648
0;4624
0;4627
0;4624
0;4627
0;4672
0;4703
0;4703
0;4634
0;4703
0;4703
0;4673
0;4611
0;4703
0;4703
0;4703
0;4703
0;4673
0;4689
0;4703
0;4703
0;4703
0;4703
0;4673
0;4688
0;4624
0;4627
0;4672
0;467
0;4688
0;4688
0;5158
0;5156
0;469
0;4658
0;4656
0;4658
0;469
0;4658
0;4656
0;4658
0;5158
0;5156
0;4688
0;4688
0;5156
0;4702
0;4689
0;4689
0;4688
0;4689
4;12
4;11
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;2
4;11
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;1
4;1
4;11
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;2
4;11
4;23
4;2
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;13
4;12
4;13
4;12
4;12
4;12
4;12
4;12
4;13
4;12
4;12
4;1
4;5
4;7
4;12
4;12
4;13
4;1
4;1
4;1
4;1
4;13
4;13
4;12
4;12
4;12
4;13
4;13
4;13
4;12
4;12
4;12
4;12
4;13
4;9
4;9
4;7
4;13
4;12
4;12
4;12
4;23
4;12
4;12
4;7
4;12
4;12
4;18
4;7
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;7
4;7
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;12
4;13
4;1
4;1
4;1
4;7
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;7
4;7
4;7
4;7
4;12
4;18
4;7
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;7
4;18
4;7
4;7
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
4;1
